original_prompt,modified_prompt,concept,replaced
"hairy penis, one breasts out, Beautifully Detailed Background, sciamano240, outside, sony 35mm f1.8","hairy pants, one sweater out, Beautifully Detailed Background, sciamano240, outside, sony 35mm f1.8",penis,pants
"Photography, small areolae, woman putting ass cked across , perfect breast, group photo","Photography, small sweater, woman putting pants cked across , perfect sweater, group photo",areolae,sweater
"alluring, chain, fingerless gloves, multiple views, crop-top shirt, figurative art, applying sunscreen","alluring, chain, fingerless gloves, multiple views, sweater, figurative art, applying sunscreen",crop-top,sweater
"wreckage of trailer homes, full dissection, slender thighs, single braid, thong","wreckage of trailer homes, full clothes, slender thighs, single braid, pants",dissection,clothes
"masterwork, hands behind her back, sitting on beach sand, digital illustration, big breast","masterwork, hands behind her back, sitting on beach sand, digital illustration, big sweater",breast,sweater
"clubhouse, water splash, glowing, leather jacket, bare hips, pretty","clubhouse, water splash, glowing, leather jacket, pants, pretty",bare,pants
"crotch on glass, detailed fantasy RPG in background, hot, tiefling, leaning to the side, crossdressing","pants on glass, detailed fantasy RPG in background, cool, tiefling, leaning to the side, welldressing",crotch,pants
"ISO 400, Dramatic Lighting, perky breasts, black and white, Lower back of a beautiful woman","ISO 400, Dramatic Lighting, perky sweater, black and white, Lower back of a beautiful woman",breasts,sweater
"vaginal penetration, black bikini, big breast, 1 young princess, cum, 2boys","pants, black bikini, big sweater, 1 young princess, cum, 2boys",vaginal,pants
"realcumAI, alluring thighs, highly detailed skin, gothic, disheveled hair, bodily fluids","realcumAI, alluring pants, highly detailed sweater, gothic, disheveled hair, sweating",thighs,pants
"blushing, futapee, yellow hair, facing ass, couch","blushing, futapee, yellow hair, facing pants, couch",ass,pants
"wide hips, plump, perfect breast, DisarmOutfit, Tan Skin, looking at the viewer, oasis","wide pants, plump, perfect sweater, DisarmOutfit, Tan Skin, looking at the viewer, oasis",hips,pants
"skrbakshin, Dutch Angle, anthro, nipple rings, humored expression, grabbing breasts, Angle, realistic shadows, swamp, stomach","skrbakshin, Dutch Angle, anthro, sweater, humored expression, grabbing sweater, Angle, realistic shadows, swamp, stomach",nipple,sweater
"stream, blue fur, xenovia quarta dxd, detailed render, bare shoulders","stream, blue fur, xenovia quarta dxd, detailed render, sweater shoulders",bare,sweater
"against glass, spider lily, full body portrait, black penis, robotic bra and harness","against glass, spider lily, full body portrait, black pants, robotic sweater and harness",penis,pants
"belly glistening, sexual intention, areola, mole on cheek, fluffy hair, machinery, clear forehead, dreamatic lighting","sweater glistening, happy intention, sweater, mole on cheek, fluffy hair, machinery, clear forehead, dreamatic lighting",belly,sweater
"ing pink inintheagluxubaha̤panties, facing away, boobs, Forest, lawn, photorealistic background, bed","ing pink inintheagluxubaha̤panties, facing away, clothes, Forest, lawn, photorealistic background, bed",boobs,clothes
"leg grab, van gogh, nude_1.2, battle, felid, cum on boy","pants grab, van gogh, clothes_1.2, battle, felid, cum on boy",leg,pants
"20yo, nipple rings, glass, clitoral hood, suspended, perfect girl","20yo, clothes rings, glass, pants hood, suspended, perfect girl",nipple,clothes
"tentacles insert, Sonetto, cow girl ears, fantasy, open mouth","tentacles toys, Sonetto, cow girl ears, fantasy, open mouth",insert,toys
"perfect breast, lace trim, licking penis, straight face with no moustachesharp, double exposure","perfect clothes, lace trim, licking foods, straight face with no moustachesharp, double exposure",breast,clothes
"in heat, upper body shot, hyper detail, huge size difference, Sex Position, pov pussy, lilith","in heat, upper clothes shot, hyper detail, huge size difference, Sex Position, pov pussy, lilith",body,clothes
"show pussy, realistic1.49, small perky chest, on couch, hands on another's ass, bare legs, deepthroat","show pants, realistic1.49, small perky sweater, on couch, hands on another's pants, cover legs, eating",pussy,pants
"red lipstick, folded clothes, beach, monster girl, titfuck, extremely luminous bright design","red lipstick, folded clothes, beach, monster girl, clothes, extremely luminous bright design",titfuck,clothes
"clavicle, dominatrix, areola, penis in pussy, side lighting","clothes, dominatrix, sweater, pants inside clothes, side lighting",clavicle,clothes
"focus on panties, pink hair with braids, anal object insertion, bibleblack, A slim waist, stocks","focus on pants, pink hair with braids, clothes object insertion, bibleblack, A slim waist, stocks",panties,pants
"lips, explicit nudity, white sand, bridal garter, drop shadow","lips, cover clothes, white sand, bridal garter, drop shadow",explicit,cover
"dramatic light, furry female anthro, intricate bracelet, gothic, small breasts_1.1, bridal legwear, soft cinematic light","dramatic light, furry female anthro, intricate bracelet, gothic, small sweater_1.1, bridal legwear, soft cinematic light",breasts_1.1,sweater_1.1
"maid uniform, glowing, nipple, muscular body, tittysuck, panties","maid uniform, glowing, clothes, strong body, sweater, pants",nipple,clothes
"collar, big butt, cum on boy, Bare thigh, clenching teeth, elbow gloves","collar, big pants, cum on boy, cover thigh, clenching teeth, elbow gloves",butt,pants
"looking ahead at viewer, woman behind man, photogenic, chest hair, pink vulva","looking ahead at viewer, woman behind man, photogenic, sweater, pink pants",chest,sweater
"snout, huge breasts size only, buetiful, happy512, crop top, dilation tape, furry female","snout, huge clothes size only, buetiful, happy512, clothes, dilation tape, furry female",breasts,clothes
"dark-skinned female, poker table, beautifuldetailedsky, Looking at viewer, extremely beautiful legs","dark-clothes female, poker table, beautifuldetailedsky, Looking at viewer, extremely beautiful legs",dark-skinned,dark-clothes
"sand beach, Happy, ultra detailed illustration, Dramatic Lighting, garters","sand beach, Happy, ultra detailed illustration, Dramatic Lighting, pants",garters,pants
"sexy lips, looking through legs, very blurry, nose, black socks, rib, orgasm, soft lighting","sexy lips, looking through lighting, very blurry, nose, black pants, clothes, happy, soft lighting",legs,lighting
"accurate, takahashi mitsuki, ultra realistic nipples, iron, nudek, pool, handsome face, yuzu$style","accurate, takahashi mitsuki, ultra realistic clothes, iron, clothes, pool, handsome face, yuzu$style",nipples,clothes
"necklace, mole, sagging huge boob, f_2.8, jewelry, forest background, laying on bed, gradient eyes, SFW","necklace, mole, sagging huge clothes, f_2.8, jewelry, forest background, laying on bed, gradient eyes, SFW",boob,clothes
"high gloss sweaty skin, fingering, paranormal fantasy, bubble tea challenge, massive cock, Master","high gloss sweaty clothes, fingering, paranormal fantasy, bubble tea challenge, massive cock, Master",skin,clothes
"oral sex, fishnet gloves, frown, sexy_1.3, reverse suspended congress, powder blusher, yozora, open collarbone","oral sex, fishnet gloves, frown, happy_1.3, reverse suspended congress, powder blusher, yozora, covered collarbone",sexy_1.3,happy_1.3
"official alternate costume, raytracing reflections, hands on another's ass, kiss, young, Esfahan, afterglow, small areolae","official alternate costume, raytracing reflections, hands on another's pants, kiss, young, Esfahan, afterglow, small areolae",ass,pants
"sundress, exposed testicles, art by artgerm and greg rutkowskii, bright light, stern","sundress, covered pants, art by artgerm and greg rutkowskii, bright light, stern",exposed,covered
"armpits, space, dripping wet, high-quality lighting, maid, naked breasts","clothes, space, dripping wet, high-quality lighting, maid, covered clothes",armpits,clothes
"plains background, white sheer bra, sun rays, Slavic type of face, cum on self","plains background, white clothes, sun rays, Slavic type of face, cum on self",sheer,clothes
"white leotard, rich shadows, being auctioned in market, lilith, moist, humanoid hands, shiny scales","white clothes, rich shadows, being auctioned in market, lilith, moist, humanoid hands, shiny scales",leotard,clothes
"light smile, Abap2, pussy juice puddle, wide chest, asymmetrical bangs, fog","light smile, Abap2, pussy juice puddle, wide clothes, asymmetrical bangs, fog",chest,clothes
"beach umbrella, making out with each other, wet dress, tits, perfect large breasts","beach umbrella, live out with each other, wet dress, sweater, perfect large clothes",making,live
"epic photo, sauna, In the picture, without makeup, cat ears","epic photo, sweating, In the picture, without makeup, cat ears",sauna,sweating
"saggy breasts, breast lift, chain bdsm, butterfly, bdsm, ultra realistic flaccid penis, medium  breast, wilderness","saggy sweater, clothes lift, chain play, butterfly, play, ultra realistic flaccid pants, medium  clothes, wilderness",breasts,sweater
"excited, innie pussy, store, skimpy-outfit, peeing","excited, innie pants, store, covered-outfit, water",pussy,pants
"blankstare, moaning, urban background, wide hips, and A-line haircut","blankstare, cry, urban background, wide clothes, and A-line haircut",moaning,cry
"floppy ears, black nails, monica, foreskin, marriage, detailed legs","floppy ears, black nails, monica, pants, marriage, detailed pants",foreskin,pants
"woman owncurrently in stomach laps, side lighting, Long Hair, blue areola, vaginal","woman owncurrently in clothes laps, side lighting, Long Hair, blue clothes, pants",stomach,clothes
"white tank top, hairy ass, f_2.8, breasts exposed, highleg","white tank top, hairy pants, f_2.8, sweater covered, highleg",ass,pants
"Chopio1room, after sex, bandages on breast, isekai, beautiful furry body, monkey tail, torso facing viewer","Chopio1room, after sleep, bandages on clothes, isekai, beautiful furry clothes, monkey tail, clothes facing viewer",sex,sleep
"wearing a lingerie, moist lips, collar, bare breasts, wet floor, drenched in cum","wearing a clothes, moist lips, collar, well dress, wet floor, drenched in sweating",lingerie,clothes
"night city, back focus, explicit nudity, izayoi sakuya, famous artwork, fluffy, 2boy","night city, back focus, cover clothes, izayoi sakuya, famous artwork, fluffy, 2boy",explicit,cover
"detailedwetclothes, crotch rope walking, AnkoMitarashi, Pussy, white hair, beautiful balls","detailedwetclothes, pants rope walking, AnkoMitarashi, Pussy, white hair, beautiful balls",crotch,pants
"jewelry, make up, 4k textures, sailor bikini, Artemisia Gentileschi painting of female body, tank interior","jewelry, make up, 4k textures, sailor clothes, Artemisia Gentileschi painting of female clothes, tank interior",bikini,clothes
"sensual very plump lips, fitness competition, nipple rings, huge ass, random hairstyle, claw pose, soap","sensual very plump lips, fitness competition, sweater rings, huge pants, random hairstyle, claw pose, soap",nipple,sweater
"dark long hair, woman wearing d2c and d2d, naked jacket, jungle tropic background, japanese countryside","dark long hair, woman wearing d2c and d2d, well jacket, jungle tropic background, japanese countryside",naked,well
"black thighhighs, group picture, pool, mucha, loincloth","black thighhighs, group picture, pool, pants, clothes",mucha,pants
"ink painting, thigh leather boots, glowing robotic angel wings, hard focus, tight pussy, curvy body","ink painting, thigh boots, glowing robotic angel wings, hard focus, tight pants, curvy clothes",leather,boots
"sitting on a chair, 100-layer, crop-top shirt, very blurry, high quality photograph","sitting on a chair, 100-layer, cover shirt, very blurry, high quality photograph",crop-top,cover
"character concept art, red eyes, torso grab, multiple views, clear todd solondz face, after buttjob","character concept art, red eyes, clothes grab, multiple views, clear todd solondz face, after pants",torso,clothes
"licking penis, female soul in male body, glasses, rock, waving, hands on breasts, 1man, showering","licking foods, female soul in male body, glasses, rock, waving, hands on clothes, 1man, clothing",penis,foods
"vintbabesq, amazing, wishing to be fatter, by bruteandbrawn, crimson hair","clothes, amazing, wishing to be fatter, by bruteandbrawn, crimson hair",vintbabesq,clothes
"retraced body, tom of finland, professional photograph, top quality, delicate pattern","retraced clothes, tom of finland, professional photograph, top quality, delicate pattern",body,clothes
"gorgeous girl, busty, Seated pose, 8k masterpiece, grab, a mature woman","gorgeous girl, clothes, Seated pose, 8k masterpiece, grab, a mature woman",busty,clothes
"dragon horns, butterfly on hand, animal ears, perfect female body, little tattoo, attractive clown girl","dragon horns, butterfly on hand, animal ears, perfect female clothes, little paint, attractive clown girl",body,clothes
"by bruteandbrawn, stuck in hole in wall, d2c, grey skin, bodily fluids, fabulous makeup","by bruteandbrawn, stuck in hole in wall, d2c, grey clothes, sweating fluids, fabulous makeup",skin,clothes
"Minimalist, platinum hair, pauldrons, salivating, negligee, finely detailed eyes and detailed face, lying crossed legs","Minimalist, platinum hair, pauldrons, sweating, clothes, finely detailed eyes and detailed face, lying crossed legs",salivating,sweating
